FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
33466.000	33633.000	175.000	401.500	314.500	0.000	0.000	1.643	0.060	0.017	0.139	0.194	Test IM2C	TL5001
33666.000	34549.000	891.000	324.500	121.500	0.000	0.000	1.643	0.103	0.050	0.333	1.499	Test IM2C	TL5001
34574.000	35298.000	732.000	201.000	306.250	0.000	0.000	1.643	0.143	0.304	0.805	1.679	Test IM2C	TL5001
35331.000	35598.000	275.000	366.500	92.000	0.000	0.000	1.643	0.261	0.343	1.749	1.846	Test IM2C	TL5001
35631.000	36073.000	450.000	318.000	126.000	0.000	0.000	1.643	0.067	0.014	0.194	0.278	Test IM2C	TL5001
36106.000	36397.000	300.000	176.000	-103.750	0.000	0.000	1.643	0.250	0.293	1.166	1.929	Test IM2C	TL5001
36431.000	36714.000	291.000	101.000	-116.000	0.000	0.000	1.643	0.082	0.023	0.264	0.291	Test IM2C	TL5001
36747.000	37088.000	350.000	147.250	-235.000	0.000	0.000	1.643	0.100	0.158	0.735	0.833	Test IM2C	TL5001
37122.000	37438.000	325.000	221.000	-248.000	0.000	0.000	1.643	0.091	0.050	0.264	0.847	Test IM2C	TL5001
37472.000	38196.000	732.000	236.500	-241.000	0.000	0.000	1.643	0.075	0.034	0.264	0.333	Test IM2C	TL5001
38229.000	38454.000	233.000	121.000	-234.750	0.000	0.000	1.643	0.075	0.029	0.361	0.236	Test IM2C	TL5001
38487.000	38662.000	184.000	146.500	-237.000	0.000	0.000	1.643	0.048	0.005	0.125	0.111	Test IM2C	TL5001
40761.000	41002.000	250.000	559.000	135.750	1.000	0.000	1.643	0.448	0.445	1.915	1.221	Test IM2C	TL5001
41027.000	41327.000	308.000	391.500	160.500	0.000	0.000	1.643	0.142	0.110	0.833	0.555	Test IM2C	TL5001
41360.000	41727.000	375.000	288.000	89.000	0.000	0.000	1.643	0.103	0.050	0.944	0.333	Test IM2C	TL5001
41760.000	42060.000	308.000	-49.000	-71.000	0.000	0.000	1.643	0.328	0.190	2.970	0.902	Test IM2C	TL5001
42093.000	42576.000	491.000	-24.000	-100.000	0.000	0.000	1.643	0.061	0.026	0.250	0.291	Test IM2C	TL5001
42601.000	42718.000	125.000	101.000	-211.000	1.000	0.000	1.643	1.041	3.902	3.067	2.748	Test IM2C	TL5001
43850.000	44025.000	183.000	266.000	-232.000	1.000	0.000	1.643	0.261	0.075	0.722	1.055	Test IM2C	TL5001
44058.000	44591.000	541.000	611.500	313.500	0.000	0.000	1.643	0.455	0.484	3.011	5.468	Test IM2C	TL5001
44624.000	44908.000	292.000	455.500	28.000	0.000	0.000	1.643	0.275	0.212	1.846	2.040	Test IM2C	TL5001
44941.000	45249.000	316.000	596.500	-65.000	0.000	0.000	1.643	0.096	0.033	0.458	0.486	Test IM2C	TL5001
45274.000	45516.000	251.000	495.500	-73.250	0.000	0.000	1.643	0.077	0.042	0.652	0.222	Test IM2C	TL5001
34235.000	34285.000	59.000	399.500	329.500	0.000	0.000	1.577	0.453	0.238	1.402	0.916	Test IM2C	TL5002
34302.000	34710.000	416.000	288.250	211.000	0.000	0.000	1.577	0.153	0.191	0.833	1.873	Test IM2C	TL5002
34743.000	34993.000	259.000	349.500	142.500	0.000	0.000	1.577	0.119	0.055	0.375	0.416	Test IM2C	TL5002
35026.000	35210.000	192.000	312.500	118.000	0.000	0.000	1.577	0.228	0.359	0.597	1.110	Test IM2C	TL5002
35226.000	35901.000	683.000	311.500	107.500	0.000	0.000	1.577	0.121	0.082	0.389	0.541	Test IM2C	TL5002
36692.000	36775.000	91.000	-181.000	523.000	1.000	0.000	1.577	0.457	0.300	0.749	0.583	Test IM2C	TL5002
36817.000	37133.000	324.000	289.000	333.000	0.000	0.000	1.577	0.424	0.359	2.984	1.651	Test IM2C	TL5002
37167.000	37458.000	299.000	384.000	487.500	0.000	0.250	1.577	0.262	0.269	0.611	1.457	Test IM2C	TL5002
39381.000	40039.000	667.000	475.000	192.500	1.000	0.000	1.577	0.333	0.437	1.082	1.624	Test IM2C	TL5002
40631.000	40880.000	258.000	468.000	147.500	1.000	0.065	1.577	0.121	0.069	0.375	0.486	Test IM2C	TL5002
40914.000	41422.000	516.000	290.000	182.000	0.000	0.000	1.577	0.081	0.071	0.486	0.583	Test IM2C	TL5002
41455.000	41813.000	366.000	272.000	161.250	1.000	0.045	1.577	0.204	0.135	0.402	1.277	Test IM2C	TL5002
44028.000	44328.000	308.000	461.000	683.000	1.000	0.000	1.577	0.365	0.736	1.776	2.442	Test IM2C	TL5002
44345.000	45485.000	1149.000	356.500	747.500	0.000	0.014	1.577	0.311	0.317	1.277	1.124	Test IM2C	TL5002
45519.000	45843.000	333.000	391.000	752.250	0.000	0.000	1.577	0.243	0.132	0.652	1.180	Test IM2C	TL5002
45877.000	46201.000	333.000	426.750	369.250	0.000	0.000	1.577	0.353	0.320	0.638	2.442	Test IM2C	TL5002
46235.000	46301.000	74.000	461.500	111.500	0.000	0.000	1.577	0.627	0.199	0.347	2.651	Test IM2C	TL5002
35800.000	36216.000	424.000	396.500	338.500	0.000	0.000	1.668	0.079	0.029	0.236	0.389	Test IM2C	TL5003
36249.000	36449.000	209.000	512.000	233.500	0.000	0.000	1.668	0.128	0.052	0.722	0.513	Test IM2C	TL5003
36474.000	37115.000	650.000	536.000	139.000	1.000	0.000	1.668	0.084	0.035	0.250	0.500	Test IM2C	TL5003
