FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
63002.000	63361.000	367.000	393.500	285.000	0.000	0.000	1.588	0.075	0.036	0.389	0.389	Test IM2C	TL5001
63402.000	63610.000	217.000	218.250	209.750	0.000	0.000	1.588	0.163	0.079	0.985	0.305	Test IM2C	TL5001
63644.000	63894.000	258.000	170.000	270.500	0.000	0.000	1.588	0.102	0.031	0.402	0.291	Test IM2C	TL5001
63927.000	64235.000	316.000	149.500	285.000	0.000	0.000	1.588	0.070	0.017	0.222	0.236	Test IM2C	TL5001
64268.000	64976.000	716.000	152.000	302.000	0.000	0.000	1.588	0.087	0.027	0.611	0.264	Test IM2C	TL5001
65009.000	65226.000	225.000	588.500	224.500	0.000	0.000	1.588	0.481	0.418	4.455	1.221	Test IM2C	TL5001
65259.000	65651.000	400.000	472.500	169.000	0.000	0.000	1.588	0.096	0.038	0.819	0.180	Test IM2C	TL5001
65684.000	65900.000	225.000	266.000	108.500	0.000	0.000	1.588	0.241	0.101	1.762	0.319	Test IM2C	TL5001
65934.000	66300.000	374.000	478.500	123.500	0.000	0.000	1.588	0.167	0.056	1.096	0.278	Test IM2C	TL5001
66333.000	66608.000	283.000	639.500	-22.500	0.000	0.000	1.588	0.213	0.161	1.235	1.457	Test IM2C	TL5001
66641.000	67199.000	567.000	739.500	-57.000	0.000	0.000	1.588	0.067	0.056	0.611	0.389	Test IM2C	TL5001
67233.000	67599.000	375.000	812.000	57.500	0.000	0.000	1.588	0.127	0.058	0.555	0.611	Test IM2C	TL5001
67632.000	68224.000	600.000	802.500	104.500	0.000	0.000	1.588	0.090	0.066	0.763	0.500	Test IM2C	TL5001
68257.000	68482.000	233.000	359.000	56.750	0.000	0.071	1.588	0.475	0.300	4.010	0.527	Test IM2C	TL5001
68515.000	69023.000	516.000	334.500	117.500	0.000	0.000	1.588	0.055	0.022	0.361	0.236	Test IM2C	TL5001
69056.000	69698.000	650.000	-5.500	-9.000	0.000	0.038	1.588	0.240	0.273	3.011	1.069	Test IM2C	TL5001
69731.000	70039.000	316.000	-34.000	2.000	0.000	0.000	1.588	0.220	0.082	1.471	0.389	Test IM2C	TL5001
70097.000	70464.000	375.000	426.500	22.500	1.000	0.000	1.588	0.056	0.042	0.347	0.555	Test IM2C	TL5001
70497.000	71097.000	608.000	269.500	-60.000	0.000	0.000	1.588	0.112	0.060	1.152	0.694	Test IM2C	TL5001
71130.000	71446.000	325.000	614.500	-84.000	0.000	0.000	1.588	0.283	0.210	2.540	0.444	Test IM2C	TL5001
71480.000	71730.000	258.000	658.000	247.000	0.000	0.000	1.588	0.323	0.516	1.804	2.262	Test IM2C	TL5001
71763.000	72654.000	899.000	452.000	147.500	0.000	0.000	1.588	0.090	0.083	1.415	0.486	Test IM2C	TL5001
72695.000	73154.000	467.000	122.500	-66.500	0.000	0.000	1.588	0.254	0.191	2.193	1.637	Test IM2C	TL5001
73187.000	73437.000	258.000	48.000	-94.000	0.000	0.000	1.588	0.068	0.014	0.264	0.153	Test IM2C	TL5001
73470.000	73811.000	350.000	147.000	-271.000	0.000	0.071	1.588	0.400	0.395	1.055	1.526	Test IM2C	TL5001
73845.000	74203.000	366.000	175.250	-224.750	0.000	0.000	1.588	0.090	0.062	0.416	0.763	Test IM2C	TL5001
74244.000	74686.000	450.000	425.500	156.000	1.000	0.056	1.588	0.119	0.110	0.749	0.874	Test IM2C	TL5001
74719.000	75077.000	366.000	314.500	124.500	0.000	0.000	1.588	0.066	0.022	0.513	0.291	Test IM2C	TL5001
103668.000	104218.000	558.000	252.500	261.000	0.000	0.000	1.400	0.266	0.474	3.303	2.762	Test IM2C	TL5002
104251.000	106441.000	2198.000	316.000	158.500	0.000	0.000	1.400	0.123	0.382	0.902	1.180	Test IM2C	TL5002
106474.000	107598.000	1132.000	182.750	337.500	0.000	0.000	1.400	0.200	0.412	0.888	1.762	Test IM2C	TL5002
108647.000	108698.000	59.000	502.750	499.750	1.000	0.429	1.400	2.372	2.772	2.609	2.109	Test IM2C	TL5002
108739.000	108972.000	241.000	570.000	166.000	0.000	0.000	1.400	0.211	0.088	0.416	0.930	Test IM2C	TL5002
109005.000	109688.000	692.000	489.000	177.500	1.000	0.000	1.400	0.129	0.064	0.402	0.638	Test IM2C	TL5002
114077.000	114168.000	100.000	166.750	352.500	1.000	0.000	1.400	0.172	0.091	0.250	0.569	Test IM2C	TL5002
114193.000	114510.000	325.000	200.000	353.500	1.000	0.000	1.400	0.265	0.216	0.763	0.791	Test IM2C	TL5002
114901.000	115167.000	275.000	292.500	171.500	1.000	0.000	1.400	0.255	0.318	0.611	1.304	Test IM2C	TL5002
136817.000	137083.000	275.000	407.500	342.500	0.000	0.000	1.561	0.072	0.015	0.153	0.250	Test IM2C	TL5003
137117.000	137375.000	266.000	470.500	214.000	0.000	0.000	1.561	0.128	0.048	0.652	0.569	Test IM2C	TL5003
137408.000	138091.000	691.000	495.500	151.500	0.000	0.000	1.561	0.061	0.027	0.236	0.389	Test IM2C	TL5003
138124.000	138907.000	791.000	496.500	210.500	0.000	0.000	1.561	0.068	0.020	0.291	0.361	Test IM2C	TL5003
138940.000	139756.000	825.000	512.500	156.500	0.000	0.000	1.561	0.068	0.025	0.222	0.389	Test IM2C	TL5003
139790.000	140006.000	224.000	349.500	194.000	0.000	0.000	1.561	0.160	0.042	0.888	0.500	Test IM2C	TL5003
140039.000	140772.000	742.000	479.500	153.500	0.000	0.000	1.561	0.080	0.116	0.971	0.555	Test IM2C	TL5003
140806.000	141030.000	233.000	313.750	167.000	0.000	0.000	1.561	0.161	0.075	1.041	0.402	Test IM2C	TL5003
141064.000	141330.000	275.000	185.000	291.500	0.000	0.000	1.561	0.089	0.031	0.194	0.402	Test IM2C	TL5003
82714.000	83038.000	333.000	385.000	304.000	0.000	0.000	1.482	0.172	0.095	0.486	0.486	Test IM2C	TL5004
83072.000	83272.000	208.000	208.250	256.750	0.000	0.120	1.482	0.218	0.174	1.013	0.749	Test IM2C	TL5004
83297.000	83530.000	241.000	143.500	284.000	0.000	0.000	1.482	0.198	0.072	0.250	0.583	Test IM2C	TL5004
83555.000	84554.000	1007.000	147.000	337.000	1.000	0.000	1.482	0.187	0.205	0.486	1.304	Test IM2C	TL5004
84795.000	85187.000	400.000	140.500	322.250	1.000	0.000	1.482	0.155	0.080	0.416	0.541	Test IM2C	TL5004
85212.000	85378.000	175.000	160.000	360.000	0.000	0.000	1.482	0.137	0.071	0.278	0.500	Test IM2C	TL5004
85420.000	85637.000	225.000	358.000	158.000	0.000	0.000	1.482	0.294	0.198	1.776	0.791	Test IM2C	TL5004
85670.000	86053.000	391.000	468.000	157.500	0.000	0.000	1.482	0.109	0.042	0.375	0.291	Test IM2C	TL5004
86086.000	86552.000	475.000	494.000	186.500	0.000	0.000	1.482	0.135	0.067	0.500	0.472	Test IM2C	TL5004
86586.000	87402.000	824.000	155.000	306.750	0.000	0.030	1.482	0.202	0.432	1.790	0.916	Test IM2C	TL5004
87435.000	87827.000	400.000	492.500	148.000	0.000	0.000	1.482	0.280	0.164	2.026	0.583	Test IM2C	TL5004
87860.000	88293.000	441.000	496.500	175.000	0.000	0.000	1.482	0.116	0.073	0.458	0.458	Test IM2C	TL5004
